Packet,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
88,-0.00267674308270216,0.004574778024107218,0.0008218514849431813,0.0,0.0,0.0,0,0,0
89,-0.00267674308270216,0.004574778024107218,0.0008218514849431813,0.0,0.0,0.0,0,0,0
90,-0.00267674308270216,0.004574778024107218,0.0008218514849431813,0.0,0.0,0.0,0,0,0
91,-0.0012298477813601494,0.0054637412540614605,0.0017390442080795765,0.0,0.0,0.0,0,0,0
92,-0.0012298477813601494,0.0054637412540614605,0.0017390442080795765,0.0,0.0,0.0,0,0,0
93,-0.0012298477813601494,0.0054637412540614605,0.0017390442080795765,0.0,0.0,0.0,0,0,0
94,-0.0012298477813601494,0.0054637412540614605,0.0017390442080795765,0.0,0.0,0.0,0,0,0
95,-0.0012298477813601494,0.0054637412540614605,0.0017390442080795765,0.0,0.0,0.0,0,0,0
96,-0.0012298477813601494,0.0054637412540614605,0.0017390442080795765,0.0,0.0,0.0,0,0,0
97,-0.0012298477813601494,0.0054637412540614605,0.0017390442080795765,0.0,0.0,0.0,0,0,0
98,-0.0016085492679849267,0.009550628252327442,0.0011851066956296563,0.0,0.0,0.0,0,0,0
99,-0.0016085492679849267,0.009550628252327442,0.0011851066956296563,0.0,0.0,0.0,0,0,0
100,-0.0016085492679849267,0.009550628252327442,0.0011851066956296563,0.0,0.0,0.0,0,0,0
101,-0.0016085492679849267,0.009550628252327442,0.0011851066956296563,0.0,0.0,0.0,0,0,0
102,-0.0016085492679849267,0.009550628252327442,0.0011851066956296563,0.0,0.0,0.0,0,0,0
103,-0.00350472005084157,0.0018210695125162601,0.0008671252289786935,0.0,0.0,0.0,0,0,0
104,-0.00350472005084157,0.0018210695125162601,0.0008671252289786935,0.0,0.0,0.0,0,0,0
105,-0.00350472005084157,0.0018210695125162601,0.0008671252289786935,0.0,0.0,0.0,0,0,0
106,-0.00350472005084157,0.0018210695125162601,0.0008671252289786935,0.0,0.0,0.0,0,0,0
107,-0.00350472005084157,0.0018210695125162601,0.0008671252289786935,0.0,0.0,0.0,0,0,0
108,-0.00054142065346241,0.01082894578576088,0.00016112125013023615,0.0,0.0,0.0,0,0,0
109,-0.00054142065346241,0.01082894578576088,0.00016112125013023615,0.0,0.0,0.0,0,0,0
110,-0.00054142065346241,0.01082894578576088,0.00016112125013023615,0.0,0.0,0.0,0,0,0
111,-0.00054142065346241,0.01082894578576088,0.00016112125013023615,0.0,0.0,0.0,0,0,0
